	BIGG	Name	CHEBI
0	trnaglu	trna (glu)	CHEBI:10680
0	trnahis	trna(his)	CHEBI:10682
0	trnaser	trna(ser)	CHEBI:10689
0	trnatrp	trna(trp)	CHEBI:10691
0	u3aga	udp-3-o-(3-hydroxytetradecanoyl)-n-acetylglucosamine	CHEBI:61494
0	u3hga	udp-3-o-(3-hydroxytetradecanoyl)-d-glucosamine	CHEBI:22095
0	uacmamu	udp-n-acetyl-d-mannosaminouronate	CHEBI:22117
0	uama	udp-n-acetylmuramoyl-l-alanine	CHEBI:13459
0	uamag	udp-n-acetylmuramoyl-l-alanyl-d-glutamate	CHEBI:13461
0	uamr	udp-n-acetylmuramate	CHEBI:13458
0	udcpdp	undecaprenyl diphosphate	CHEBI:15284
0	udpLa4fn	uridine 5''-diphospho-{beta}-4-deoxy-4-formamido-l-arabinose	CHEBI:47027
0	ugmda	udp-n-acetylmuramoyl-l-alanyl-d-glutamyl-meso-2,6-diaminopimeloyl-d-alanyl-d-alanine	CHEBI:13462
0	ump	ump c9h11n2o9p	CHEBI:13508
0	ura	uracil	CHEBI:15288
0	uracp	ureidoacrylate peracid	CHEBI:59889
0	urea	urea ch4n2o	CHEBI:134711
0	xan	xanthine	CHEBI:10059
0	xtp	xtp	CHEBI:10049
0	xylu__L	l-xylulose	CHEBI:13190
0	zn2	zinc	CHEBI:10113
0	12ppd__S	(s)-propane-1,2-diol	CHEBI:18799
0	26dap__M	meso-2,6-diaminoheptanedioate	CHEBI:10598
0	3hpp	3-hydroxypropanoate	CHEBI:11836
0	LalaDglu	l-alanine-d-glutamate	CHEBI:61395
0	acgam	n-acetyl-d-glucosamine	CHEBI:12455
0	acgam1p	n-acetyl-d-glucosamine 1-phosphate	CHEBI:7125
0	acnam	n-acetylneuraminate	CHEBI:12471
0	agm	agmatine	CHEBI:13747
0	all__D	d-allose	CHEBI:4093
0	amp	amp c10h12n5o7p	CHEBI:12056
0	asp__L	l-aspartate	CHEBI:13085
0	cbi	cobinamide	CHEBI:48529
0	cd2	cadmium	CHEBI:3290
0	cl	chloride	CHEBI:13291
0	cm	chloramphenicol	CHEBI:13965
0	cmp	cmp c9h12n3o8p	CHEBI:13274
